"person_id","screening_date","first_offense_date","current_offense_date","offenses_within_30","before_cutoff_date","p_felony_count_person","p_misdem_count_person","p_charge_violent","p_current_age","p_age_first_offense","p_juv_fel_count","p_felprop_violarrest","p_murder_arrest","p_felassault_arrest","p_misdemassault_arrest","p_famviol_arrest","p_sex_arrest","p_weapons_arrest","p_n_on_probation","p_current_on_probation","p_prob_revoke","p_charge","p_arrest","p_jail30","p_prison30","p_prison","p_probation","Risk of Failure to Appear_decile_score","Risk of Failure to Appear_raw_score","Risk of Recidivism_decile_score","Risk of Recidivism_raw_score","Risk of Violence_decile_score","Risk of Violence_raw_score","is_misdem","recid","recid_violent","raw_score","decile_score","race_black","race_white","race_hispanic","race_asian","race_native","sex_male","crim_inv","filt1","filt2","filt3","filt4","filt5","filt6"
1,2013-08-14,2013-08-13,2013-08-13,2,2013-08-13,0,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,-2.78,1,-4.31,0,0,0,-2.78,1,0,0,0,0,0,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
3,2013-01-27,2013-01-26,2013-01-26,1,2013-01-26,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,3,-0.76,1,-3.07,0,1,1,-0.76,3,1,0,0,0,0,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,2013-04-14,2011-12-28,2013-04-13,3,2013-04-13,3,7,1,21,20,0,1,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,7,26,4,-0.66,3,-2.26,0,1,0,-0.66,4,1,0,0,0,0,1,10,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
5,2013-01-13,2007-05-16,2013-01-12,3,2013-01-12,0,1,0,19,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,19,8,0.16,6,-1.59,0,0,0,0.16,8,1,0,0,0,0,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
7,2013-11-30,2013-11-30,2013-11-30,1,2013-11-30,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,1,-1.93,1,-3.3,1,0,0,-1.93,1,0,0,0,0,0,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8,2014-02-19,1993-08-01,2014-02-18,2,2014-02-18,15,6,7,39,19,0,5,0,0,1,0,0,3,3,0,1,21,20,0,0,2,3,8,30,6,-0.16,2,-2.89,0,1,1,-0.16,6,0,1,0,0,0,1,26,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
9,2013-08-30,2002-10-27,2013-08-23,2,2013-08-23,1,3,3,40,29,0,0,0,1,1,0,0,0,0,0,0,5,3,0,0,0,2,3,20,4,-0.72,3,-2.44,0,0,0,-0.72,4,0,0,0,0,0,1,7,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
10,2014-03-16,2014-03-15,2014-03-15,1,2014-03-15,0,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,-1.73,1,-3.37,1,0,0,-1.73,1,0,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11,2013-12-09,2013-12-08,2013-12-08,2,2013-12-08,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,10,0.82,9,-0.83,0,0,0,0.82,10,0,1,0,0,0,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
12,2014-09-05,2014-09-04,2014-09-04,2,2014-09-04,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,5,-0.72,3,-2.42,0,0,0,-0.72,5,0,1,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
